"Pending Appointment and Electronic Wait List
Summary -National, Facility, and Division Level
Summaries Wait Time Calculated from Preferred
Date
For the period ending:  11/1/2016","1. Total Appts
Scheduled","2. Appts
Scheduled 30
Days or Under","3. Percent
Appts
Scheduled
30 Days or
Under","4. Appts
Scheduled Over
30 Days","5. Percent
Appts
Scheduled
Over 30
Days","6. New
Enroll Appt
Req","7. EWL
Count","8. Appts
Between 0-14
Days","9. EWL 0-
14 Days","10. Appts
Between 15-30
Days","11. EWL 15
-30 days","12. Appts
Between 31-60
Days","13. EWL 31
-60 Days","14. Appts
Between 61-90
Days","15. EWL 61
-90 Days","16. Appts
Between 91-
120 Days","17. EWL 91
-120 Days","18. Appts
Beyond 120
Days","19. EWL
Greater
than 120
Days","20. PC
Avg
Wait
Time","21. SC
Avg
Wait
Time","22. MH
Avg
Wait
Time"
(V18) (644BY) Southeast,"13,606","12,098",88.92%,"1,508",11.08%,0,7,"11,200",0,898,0,828,0,375,0,193,6,112,1,9.68,24.57,4.83
(V18) (644GA) Sun City,"7,722","7,366",95.39%,356,4.61%,0,0,"7,069",0,297,0,242,0,110,0,1,0,3,0,6.21,5.38,4.36
(V18) (644GB) Show Low,"1,171","1,140",97.35%,31,2.65%,0,70,"1,104",0,36,0,20,0,8,0,1,0,2,70,3.87,17.49,2.27
(V18) (644GD) Payson,98,98,100.00%,0,0.00%,0,0,98,0,0,0,0,0,0,0,0,0,0,0,4.33,,0
(V18) (644GE) Thunderbird,"2,583","2,352",91.06%,231,8.94%,0,0,"2,152",0,200,0,209,0,21,0,0,0,1,0,13.38,7.38,1.75
(V18) (644GF) Globe,92,88,95.65%,4,4.35%,0,0,85,0,3,0,3,0,1,0,0,0,0,0,2.55,63,0.87
"(V18) (644GG) Northeast Phoenix VA
Clinic","1,246","1,175",94.30%,71,5.70%,0,0,"1,137",0,38,0,45,0,16,0,8,0,2,0,8.87,6.75,3.16
(V18) (649) Northern Arizona HCS,"16,603","14,396",86.71%,"2,207",13.29%,9,654,"13,229",110,"1,167",127,"1,130",141,695,92,307,37,75,147,9.25,18.53,5.96
(V18) (649) Bob Stump VAMC,"11,848","10,032",84.67%,"1,816",15.33%,0,653,"9,193",109,839,127,861,141,596,92,287,37,72,147,7.13,18.82,7.98
(V18) (649GA) Kingman,"1,271","1,228",96.62%,43,3.38%,0,1,"1,158",1,70,0,39,0,2,0,2,0,0,0,5.72,14.8,1.76
(V18) (649GB) Flagstaff,571,545,95.45%,26,4.55%,0,0,488,0,57,0,22,0,3,0,0,0,1,0,9.94,2.48,1.9
(V18) (649GC) Lake Havasu,"1,807","1,622",89.76%,185,10.24%,0,0,"1,505",0,117,0,103,0,65,0,16,0,1,0,12.03,5.55,2.06
(V18) (649GD) Anthem,397,371,93.45%,26,6.55%,0,0,334,0,37,0,23,0,0,0,2,0,1,0,12.05,36,0.77
(V18) (649GE) Cottonwood,709,598,84.34%,111,15.66%,0,0,551,0,47,0,82,0,29,0,0,0,0,0,15.54,5.33,4.21
(V18) (678) Southern Arizona HCS,"55,508","51,307",92.43%,"4,201",7.57%,1,82,"47,799",14,"3,508",15,"1,924",14,"1,075",16,674,10,528,13,5.9,9.9,3.41
(V18) (678) Tucson VAMC,"40,372","36,519",90.46%,"3,853",9.54%,0,45,"33,835",8,"2,684",9,"1,715",9,"1,000",9,632,5,506,5,6.62,10.79,3.54
(V18) (678GA) Sierra Vista,"3,865","3,705",95.86%,160,4.14%,0,19,"3,458",0,247,3,107,3,26,3,22,4,5,6,5.82,6.41,3.44
(V18) (678GB) Yuma,"2,311","2,275",98.44%,36,1.56%,0,8,"2,224",2,51,2,18,1,9,1,4,0,5,2,3.42,3.7,1.49
(V18) (678GC) Casa Grande,"2,372","2,343",98.78%,29,1.22%,0,10,"2,297",4,46,1,7,1,17,3,4,1,1,0,2.54,1.79,5.5
(V18) (678GD) Safford,291,290,99.66%,1,0.34%,0,0,256,0,34,0,1,0,0,0,0,0,0,0,7.49,4.89,2.6
(V18) (678GE) Green Valley,634,614,96.85%,20,3.15%,0,0,602,0,12,0,9,0,1,0,2,0,8,0,6.22,9,1.47
"(V18) (678GF) Northwest Tucson VA
Clinic","3,241","3,211",99.07%,30,0.93%,0,0,"2,973",0,238,0,21,0,6,0,2,0,1,0,5.12,4.47,1.97
"(V18) (678GG) Southeast Tucson VA
Clinic","2,404","2,332",97.00%,72,3.00%,0,0,"2,136",0,196,0,46,0,16,0,8,0,2,0,9.09,4.4,3.48
(V18) (678MA) IDES Davis-Monthan AFB,2,2,100.00%,0,0.00%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,
(V18) (678MB) IDES Fort Huachuca,16,16,100.00%,0,0.00%,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V18) (756) El Paso, TX","45,321","43,234",95.40%,"2,087",4.60%,5,0,"40,113",0,"3,121",0,"1,164",0,409,0,245,0,269,0,10.75,5.75,4.65
(V18) (756) El Paso VA Clinic,"38,188","36,262",94.96%,"1,926",5.04%,0,0,"33,633",0,"2,629",0,"1,037",0,382,0,240,0,267,0,12.79,5.75,5.07
(V18) (756GA) Las Cruces,"2,938","2,923",99.49%,15,0.51%,0,0,"2,835",0,88,0,12,0,1,0,1,0,1,0,1.64,4.11,3.25
(V18) (756GB) El Paso Eastside,"4,117","3,971",96.45%,146,3.55%,0,0,"3,584",0,387,0,115,0,26,0,4,0,1,0,8.02,1.44,4.07
(V18) (756MA) IDES Fort Bliss,78,78,100.00%,0,0.00%,0,0,61,0,17,0,0,0,0,0,0,0,0,0,,10.86,2
(V19) (436) Montana HCS,"23,952","19,997",83.49%,"3,955",16.51%,20,"1,557","18,270",216,"1,727",150,"1,910",493,"1,214",412,522,229,309,56,12.65,21.81,4.53
"(V19) (436) Fort Harrison VA Medical
Center","9,361","7,617",81.37%,"1,744",18.63%,0,906,"6,834",130,783,90,862,281,547,249,207,131,128,25,13.72,20.57,5.06
(V19) (436GC) Missoula,"3,703","3,154",85.17%,549,14.83%,0,6,"2,949",1,205,2,244,3,219,0,53,0,33,0,14.71,24.29,6.95
(V19) (436GD) Bozeman,"1,256","1,013",80.65%,243,19.35%,0,84,881,14,132,14,104,17,87,19,47,19,5,1,8.98,35.54,0.9
(V19) (436GF) Kalispell,"2,142","1,734",80.95%,408,19.05%,0,0,"1,603",0,131,0,177,0,52,0,104,0,75,0,21.72,39.5,4.59
(V19) (436GH) Billings,"4,490","3,578",79.69%,912,20.31%,0,561,"3,289",71,289,44,440,192,294,144,110,79,68,30,7.97,23.49,4.55
(V19) (436GI) Glasgow,147,140,95.24%,7,4.76%,0,0,119,0,21,0,7,0,0,0,0,0,0,0,8.21,5,0
(V19) (436GJ) Miles City VA Clinic,491,488,99.39%,3,0.61%,0,0,476,0,12,0,2,0,0,0,1,0,0,0,1.15,0.45,1.67
(V19) (436GK) Glendive,206,200,97.09%,6,2.91%,0,0,189,0,11,0,5,0,1,0,0,0,0,0,4.77,31.25,3.28
(V19) (436GL) Cut Bank,215,207,96.28%,8,3.72%,0,0,197,0,10,0,8,0,0,0,0,0,0,0,3.88,10,6.09
(V19) (436GM) Lewistown,297,291,97.98%,6,2.02%,0,0,279,0,12,0,5,0,1,0,0,0,0,0,2.17,6.09,3.59
(V19) (436HC) Merril Lundman VA OPC,186,182,97.85%,4,2.15%,0,0,175,0,7,0,4,0,0,0,0,0,0,0,1.76,8,8
(V19) (436MA) IDES Malmstrom AFB,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,
"(V19) (442) Cheyenne, WY","17,911","16,113",89.96%,"1,798",10.04%,20,0,"14,832",0,"1,281",0,"1,172",0,473,0,87,0,66,0,4.97,11.79,7.57
(V19) (442) Cheyenne VA Medical Center,"10,015","9,010",89.97%,"1,005",10.03%,0,0,"8,221",0,789,0,645,0,269,0,48,0,43,0,6.1,10.23,8.27
(V19) (442GB) Sidney,153,150,98.04%,3,1.96%,0,0,145,0,5,0,3,0,0,0,0,0,0,0,2.66,1.68,2.95
(V19) (442GC) Fort Collins,"3,543","3,136",88.51%,407,11.49%,0,0,"2,893",0,243,0,306,0,75,0,24,0,2,0,4.52,14.92,8.26
(V19) (442GD) Greeley,"3,680","3,329",90.46%,351,9.54%,0,0,"3,104",0,225,0,194,0,127,0,15,0,15,0,3.77,15.61,5.2
"(V19) (442HK) Wheatland VA Mobile
Clinic",188,180,95.74%,8,4.26%,0,0,174,0,6,0,8,0,0,0,0,0,0,0,2.34,,6.61
(V19) (442QA) Rawlins,85,67,78.82%,18,21.18%,0,0,56,0,11,0,12,0,0,0,0,0,6,0,23.17,,0
"(V19) (442QB) Torrington VA Mobile
Clinic",247,241,97.57%,6,2.43%,0,0,239,0,2,0,4,0,2,0,0,0,0,0,1.8,,9.2
"(V19) (554) Denver, CO","79,203","65,343",82.50%,"13,860",17.50%,12,253,"59,082",79,"6,261",48,"6,629",78,"4,111",17,"1,949",12,"1,171",19,16.26,18.5,8.87
(V19) (554) Denver VA Medical Center,"37,113","30,894",83.24%,"6,219",16.76%,0,159,"27,531",53,"3,363",41,"3,440",39,"1,537",14,655,5,587,7,15.14,16.36,8.85
(V19) (5549AB) VANURS Pueblo,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
(V19) (554GB) Aurora,"3,881","3,184",82.04%,697,17.96%,0,3,"2,885",1,299,0,190,1,194,0,303,0,10,1,18.99,8.45,12.77
(V19) (554GC) Golden,"6,011","5,633",93.71%,378,6.29%,0,1,"5,206",0,427,0,339,0,31,0,6,0,2,1,6.63,10.32,1.22
(V19) (554GD) Pueblo,"6,837","5,914",86.50%,923,13.50%,0,78,"5,393",19,521,7,413,38,278,2,150,7,82,5,17.1,15.62,6.98
"(V19) (554GE) PFC Floyd K Lindstrom VA
Clinic","23,582","18,077",76.66%,"5,505",23.34%,0,12,"16,588",6,"1,489",0,"2,140",0,"2,046",1,833,0,486,5,19.66,27.57,11.71
(V19) (554GF) Alamosa,424,312,73.58%,112,26.42%,0,0,273,0,39,0,89,0,22,0,1,0,0,0,22.95,12.71,5.3
(V19) (554GG) La Junta,675,660,97.78%,15,2.22%,0,0,637,0,23,0,11,0,2,0,1,0,1,0,1.95,11.36,4.5
(V19) (554GH) Lamar,283,280,98.94%,3,1.06%,0,0,245,0,35,0,2,0,0,0,0,0,1,0,8.22,0,1.11
(V19) (554GI) Burlington,315,308,97.78%,7,2.22%,0,0,266,0,42,0,4,0,1,0,0,0,2,0,9.93,13.57,5.33
(V19) (554MA) IDES Fort Carson,81,80,98.77%,1,1.23%,0,0,57,0,23,0,1,0,0,0,0,0,0,0,,11.04,9.08
"(V19) (575) Grand Junction, CO","10,359","9,595",92.62%,764,7.38%,7,90,"8,963",6,632,15,492,27,159,19,59,15,54,8,14.97,6.96,1.41
(V19) (575) Grand Junction VAMC,"9,508","8,786",92.41%,722,7.59%,0,90,"8,204",6,582,15,472,27,149,19,54,15,47,8,15.37,7.1,1.34
(V19) (575GA) Montrose,705,676,95.89%,29,4.11%,0,0,628,0,48,0,17,0,6,0,5,0,1,0,6.02,6.08,4.8
"(V19) (575GB) Major William Edward
Adams VA Clinic",146,133,91.10%,13,8.90%,0,0,131,0,2,0,3,0,4,0,0,0,6,0,29.23,3.03,2.22
"(V19) (660) Salt Lake City, UT","42,962","36,735",85.51%,"6,227",14.49%,19,572,"33,041",52,"3,694",68,"3,202",148,"1,474",106,929,107,622,91,9.49,14.09,7.92
(V19) (660) George E. Wahlen VAMC,"32,956","27,394",83.12%,"5,562",16.88%,0,571,"24,157",51,"3,237",68,"2,839",148,"1,270",106,867,107,586,91,11.83,14.3,7.53
(V19) (660GA) Pocatello,"1,818","1,763",96.97%,55,3.03%,0,0,"1,694",0,69,0,36,0,12,0,3,0,4,0,3.37,9.01,4.7
(V19) (660GB) Ogden,"3,454","3,096",89.64%,358,10.36%,0,0,"2,935",0,161,0,156,0,144,0,41,0,17,0,12.28,13.53,15.5
(V19) (660GD) Roosevelt,158,156,98.73%,2,1.27%,0,0,153,0,3,0,1,0,1,0,0,0,0,0,0.96,13,0.3
(V19) (660GE) Orem,"1,968","1,844",93.70%,124,6.30%,0,1,"1,743",1,101,0,73,0,31,0,8,0,12,0,9.63,11.84,3.14
"(V19) (660GK) Elko, NV",64,60,93.75%,4,6.25%,0,0,59,0,1,0,4,0,0,0,0,0,0,0,2.19,0.63,11.88
(V19) (660MA) IDES Hill AFB,9,9,100.00%,0,0.00%,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V19) (666) Sheridan, WY","5,847","5,409",92.51%,438,7.49%,10,12,"4,959",6,450,0,320,2,88,1,24,3,6,0,6.86,13.56,2.49
(V19) (666) Sheridan VA Medical Center,"2,443","2,123",86.90%,320,13.10%,0,11,"1,844",5,279,0,244,2,58,1,16,3,2,0,13.63,14.81,2.66
(V19) (666GB) Casper,"1,373","1,314",95.70%,59,4.30%,0,1,"1,250",1,64,0,32,0,17,0,7,0,3,0,6.41,3.77,2.78
(V19) (666GC) Riverton,831,820,98.68%,11,1.32%,0,0,788,0,32,0,11,0,0,0,0,0,0,0,2.23,1.98,3.34
(V19) (666GD) Powell,405,373,92.10%,32,7.90%,0,0,340,0,33,0,19,0,11,0,1,0,1,0,8.85,24.5,0.23
(V19) (666GE) Gillette,276,275,99.64%,1,0.36%,0,0,258,0,17,0,0,0,1,0,0,0,0,0,3.84,1.12,0.52
(V19) (666GF) Rock Springs,519,504,97.11%,15,2.89%,0,0,479,0,25,0,14,0,1,0,0,0,0,0,4.04,13.55,1.62
"(V20) (463) Anchorage, AK","6,471","6,151",95.05%,320,4.95%,37,5,"5,772",5,379,0,252,0,59,0,7,0,2,0,2.8,8.46,3.55
(V20) (463) Alaska VA Medical Center,"4,190","3,915",93.44%,275,6.56%,0,5,"3,603",5,312,0,210,0,57,0,6,0,2,0,3.97,7.97,4.34
(V20) (463BU) Anchorage DCHV,696,695,99.86%,1,0.14%,0,0,694,0,1,0,1,0,0,0,0,0,0,0,,,0.48
(V20) (463GA) Fairbanks,652,622,95.40%,30,4.60%,0,0,591,0,31,0,28,0,1,0,1,0,0,0,1.03,15.87,1.19
(V20) (463GB) Kenai,534,522,97.75%,12,2.25%,0,0,500,0,22,0,12,0,0,0,0,0,0,0,0.9,6.15,2.51
(V20) (463GC) Mat-Su,399,397,99.50%,2,0.50%,0,0,384,0,13,0,1,0,1,0,0,0,0,0,0.93,,2.36
"(V20) (531) Boise, ID","17,374","14,237",81.94%,"3,137",18.06%,2,150,"12,655",28,"1,582",27,"1,803",41,838,21,342,13,154,20,13.43,20.58,2.92
(V20) (531) Boise VA Medical Center,"15,132","12,346",81.59%,"2,786",18.41%,0,150,"10,914",28,"1,432",27,"1,589",41,764,21,310,13,123,20,13.62,20.34,2.87
(V20) (531GE) Twin Falls,698,650,93.12%,48,6.88%,0,0,619,0,31,0,25,0,14,0,3,0,6,0,8.23,5.71,6.55
(V20) (531GG) Caldwell,"1,538","1,235",80.30%,303,19.70%,0,0,"1,116",0,119,0,189,0,60,0,29,0,25,0,15.7,27.38,1.66
(V20) (531MB) IDES Idaho ANG,6,6,100.00%,0,0.00%,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,0,0
"(V20) (648) Portland, OR","75,414","66,453",88.12%,"8,961",11.88%,5,"1,170","59,980",90,"6,473",92,"5,210",147,"1,895",121,"1,097",48,759,672,8.54,15.24,4.23
(V20) (648) Portland VA Medical Center,"49,088","43,281",88.17%,"5,807",11.83%,0,243,"39,738",20,"3,543",11,"2,985",29,"1,420",28,894,11,508,144,15.13,14.32,1.12
(V20) (648A4) Vancouver,"10,701","9,013",84.23%,"1,688",15.77%,0,168,"7,712",9,"1,301",11,"1,146",23,228,32,115,1,199,92,8.44,19.83,6.43
(V20) (648BU) VADOM Vancouver,234,227,97.01%,7,2.99%,0,0,216,0,11,0,5,0,2,0,0,0,0,0,,,
(V20) (648GA) Bend,"2,895","2,594",89.60%,301,10.40%,0,88,"2,234",28,360,31,238,29,57,0,3,0,3,0,7.05,10.93,11.45
(V20) (648GB) Salem,"6,389","5,575",87.26%,814,12.74%,0,670,"4,850",32,725,39,589,66,134,61,68,36,23,436,6.78,18.35,7.51
(V20) (648GD) North Coast,359,351,97.77%,8,2.23%,0,0,334,0,17,0,6,0,1,0,0,0,1,0,6.28,,2.09
(V20) (648GE) Fairview,"1,939","1,868",96.34%,71,3.66%,0,0,"1,779",0,89,0,46,0,17,0,4,0,4,0,5.1,24.39,2.2
(V20) (648GF) Hillsboro,"2,580","2,353",91.20%,227,8.80%,0,1,"2,018",1,335,0,170,0,30,0,10,0,17,0,7.96,15.01,3.86
(V20) (648GG) West Linn,"1,229","1,191",96.91%,38,3.09%,0,0,"1,099",0,92,0,25,0,6,0,3,0,4,0,5.91,22.11,2.99
"(V20) (653) Roseburg, OR","25,869","22,583",87.30%,"3,286",12.70%,88,231,"21,031",40,"1,552",37,"1,394",106,"1,027",20,474,19,391,9,5.67,17.24,2.86
(V20) (653) Roseburg VA Medical Center,"14,092","12,354",87.67%,"1,738",12.33%,0,48,"11,525",5,829,7,770,16,516,10,275,3,177,7,5.91,13.81,3.6
(V20) (653BY) Eugene,"9,699","8,229",84.84%,"1,470",15.16%,0,120,"7,599",25,630,19,587,73,488,3,186,0,209,0,5.33,23.51,1.93
(V20) (653GA) North Bend,"1,551","1,507",97.16%,44,2.84%,0,49,"1,468",6,39,7,18,16,14,5,7,15,5,0,4.77,10.89,1.94
(V20) (653GB) Brookings,527,493,93.55%,34,6.45%,0,14,439,4,54,4,19,1,9,2,6,1,0,2,13.59,1.17,5.24
"(V20) (663) VA Puget Sound, WA","69,977","63,167",90.27%,"6,810",9.73%,553,"1,989","58,066",297,"5,101",231,"4,318",351,"2,001",181,329,127,162,802,10.18,14,2.06
(V20) (663) Seattle VA Medical Center,"33,835","30,803",91.04%,"3,032",8.96%,0,734,"28,611",40,"2,192",39,"2,014",67,772,60,159,55,87,473,7.75,11.84,1.88
(V20) (663A4) American Lake,"29,641","26,340",88.86%,"3,301",11.14%,0,568,"24,021",155,"2,319",101,"1,952",137,"1,137",64,156,36,56,75,12.92,17.81,0.86
(V20) (663GA) Bellevue,"1,777","1,714",96.45%,63,3.55%,0,1,"1,622",1,92,0,31,0,29,0,3,0,0,0,7.33,0.15,2.05
(V20) (663GB) Bremerton,713,694,97.34%,19,2.66%,0,230,644,32,50,33,9,42,8,17,0,4,2,102,6.23,4.67,0.33
(V20) (663GC) Mount Vernon,"2,640","2,497",94.58%,143,5.42%,0,413,"2,320",62,177,47,105,81,17,39,4,32,17,152,13.23,8.86,0.41
(V20) (663GD) South Sound,"1,306","1,065",81.55%,241,18.45%,0,43,806,7,259,11,196,24,38,1,7,0,0,0,14.07,26.5,18.17
(V20) (663MA) IDES Fort Lewis,1,1,100.00%,0,0.00%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,
"(V20) (668) Spokane, WA","19,093","16,950",88.78%,"2,143",11.22%,39,195,"15,347",52,"1,603",28,"1,245",22,692,49,133,5,73,39,9.43,14.93,3.18
(V20) (668) Mann-Grandstaff VAMC,"16,477","14,491",87.95%,"1,986",12.05%,0,195,"13,073",52,"1,418",28,"1,139",22,645,49,131,5,71,39,9.98,15.63,3.3
(V20) (668GA) Wenatchee,742,679,91.51%,63,8.49%,0,0,610,0,69,0,41,0,21,0,0,0,1,0,6.72,9.75,6.34
(V20) (668GB) Coeur d'Alene,"1,739","1,649",94.82%,90,5.18%,0,0,"1,533",0,116,0,64,0,25,0,1,0,0,0,9.25,2.96,1.51
(V20) (668HK) Spokane Mobile OPC,135,131,97.04%,4,2.96%,0,0,131,0,0,0,1,0,1,0,1,0,1,0,2.94,,
"(V20) (687) Walla Walla, WA","8,909","7,961",89.36%,948,10.64%,54,65,"7,304",6,657,7,513,11,187,15,204,18,44,8,9.03,14.94,3.64
"(V20) (687) Jonathan M Wainwright
VAMC","5,268","4,571",86.77%,697,13.23%,0,1,"4,159",0,412,0,346,0,135,1,186,0,30,0,8.77,15.08,0.66
(V20) (687GA) Richland,958,914,95.41%,44,4.59%,0,0,851,0,63,0,36,0,4,0,4,0,0,0,9.08,3.25,3.07
(V20) (687GB) Lewiston,460,449,97.61%,11,2.39%,0,3,417,0,32,0,8,2,2,0,0,1,1,0,4.32,,6.42
(V20) (687GC) La Grande,255,241,94.51%,14,5.49%,0,17,202,2,39,0,13,1,0,0,0,8,1,6,9.58,4.08,1.79
(V20) (687HA) Yakima,"1,968","1,786",90.75%,182,9.25%,0,44,"1,675",4,111,7,110,8,46,14,14,9,12,2,9.68,2.44,7.41
"(V20) (692) White City, OR","8,808","8,001",90.84%,807,9.16%,35,"2,413","7,242",337,759,180,651,381,99,260,22,451,35,803,12.49,14.76,4.48
(V20) (692) White City VA Medical Center,"7,862","7,091",90.19%,771,9.81%,0,"1,820","6,365",311,726,156,636,304,94,196,20,167,21,685,13.18,14.91,4.35
(V20) (692GA) Klamath Falls,606,589,97.19%,17,2.81%,0,369,574,19,15,22,9,72,2,64,1,75,5,117,4.41,5.45,7.07
(V20) (692GB) Grants Pass,340,321,94.41%,19,5.59%,0,224,303,7,18,2,6,5,3,0,1,209,9,1,19.1,0,2.59
"(V21) (358) Manila, PI","5,963","5,825",97.69%,138,2.31%,32,0,"5,500",0,325,0,78,0,20,0,19,0,21,0,3.67,5.64,5.96
(V21) (358) Manila,"5,963","5,825",97.69%,138,2.31%,0,0,"5,500",0,325,0,78,0,20,0,19,0,21,0,3.67,5.64,5.96
"(V21) (459) Honolulu, HI","20,920","19,770",94.50%,"1,150",5.50%,25,6,"18,209",4,"1,561",2,813,0,242,0,67,0,28,0,8.16,4.81,5.65
(V21) (459) Spark M Matsunaga VAMC,"11,839","11,255",95.07%,584,4.93%,0,0,"10,410",0,845,0,417,0,122,0,33,0,12,0,8.2,4.67,2.68
(V21) (459GA) Maui,"1,895","1,841",97.15%,54,2.85%,0,0,"1,738",0,103,0,40,0,12,0,2,0,0,0,3.22,0,5.71
(V21) (459GB) Hilo,"1,588","1,541",97.04%,47,2.96%,0,0,"1,451",0,90,0,39,0,6,0,1,0,1,0,6.67,0.1,2.03
(V21) (459GC) Kona,813,806,99.14%,7,0.86%,0,0,785,0,21,0,6,0,1,0,0,0,0,0,2.54,0.36,3.37
(V21) (459GD) Kauai,804,780,97.01%,24,2.99%,0,0,731,0,49,0,19,0,5,0,0,0,0,0,3.92,2.34,7.14
(V21) (459GE) Guam,"1,772","1,474",83.18%,298,16.82%,0,6,"1,268",4,206,2,165,0,91,0,29,0,13,0,24.02,10.26,10.27
(V21) (459GF) American Samoa,675,644,95.41%,31,4.59%,0,0,556,0,88,0,31,0,0,0,0,0,0,0,5.83,13.9,3.25
(V21) (459GG) Leeward Oahu,"1,534","1,429",93.16%,105,6.84%,0,0,"1,270",0,159,0,96,0,5,0,2,0,2,0,6.3,0.68,10.05
"(V21) (570) Fresno, CA","20,584","18,410",89.44%,"2,174",10.56%,6,32,"16,536",0,"1,874",2,"1,311",4,819,1,29,1,15,24,1.36,14.4,0.85
(V21) (570) Fresno VAMC,"18,602","16,528",88.85%,"2,074",11.15%,0,32,"14,694",0,"1,834",2,"1,251",4,786,1,23,1,14,24,1.3,14.45,0.85
(V21) (570GA) Merced,701,634,90.44%,67,9.56%,0,0,622,0,12,0,39,0,25,0,2,0,1,0,0.91,24.9,0.58
(V21) (570GB) Tulare,994,983,98.89%,11,1.11%,0,0,968,0,15,0,10,0,1,0,0,0,0,0,1.68,1.78,1.24
(V21) (570GC) Oakhurst,287,265,92.33%,22,7.67%,0,0,252,0,13,0,11,0,7,0,4,0,0,0,1.97,17.8,0.44
"(V21) (612) N. California, CA","70,028","61,503",87.83%,"8,525",12.17%,69,319,"56,260",103,"5,243",69,"4,831",87,"2,822",51,709,6,163,3,12.18,12.16,1.9
(V21) (612) Martinez VA CLC,4,3,75.00%,1,25.00%,0,0,2,0,1,0,1,0,0,0,0,0,0,0,,17.25,
(V21) (612A4) Sacramento VAMC,"24,652","21,624",87.72%,"3,028",12.28%,0,258,"19,943",78,"1,681",54,"1,648",73,"1,077",44,212,6,91,3,11.13,12.18,3.01
(V21) (612B4) Redding,"8,059","7,044",87.41%,"1,015",12.59%,0,19,"6,374",9,670,6,619,4,318,0,62,0,16,0,7.57,14.63,2.82
(V21) (612BY) Oakland,"5,373","4,753",88.46%,620,11.54%,0,22,"4,398",12,355,5,382,5,187,0,44,0,7,0,6.43,16.73,0.86
(V21) (612GD) Fairfield,"1,436","1,382",96.24%,54,3.76%,0,7,"1,264",3,118,2,50,0,3,2,1,0,0,0,8.16,5.68,0.27
(V21) (612GE) Mare Island,"3,622","3,503",96.71%,119,3.29%,0,0,"3,379",0,124,0,89,0,24,0,3,0,3,0,5.21,3.01,0.02
(V21) (612GF) Martinez,"11,257","9,399",83.49%,"1,858",16.51%,0,7,"8,318",0,"1,081",2,"1,060",0,683,5,108,0,7,0,5.57,17.19,2.22
(V21) (612GG) Chico,"4,445","3,575",80.43%,870,19.57%,0,0,"3,344",0,231,0,255,0,340,0,263,0,12,0,31.19,7.54,1.32
(V21) (612GH) McClellan,"10,160","9,297",91.51%,863,8.49%,0,6,"8,441",1,856,0,655,5,170,0,12,0,26,0,6.12,9.86,1.3
"(V21) (640) Palo Alto, CA","43,991","39,536",89.87%,"4,455",10.13%,10,207,"34,934",39,"4,602",16,"3,040",33,937,33,271,57,207,29,15.51,9.53,10.68
(V21) (640) Palo Alto VAMC,"18,746","17,465",93.17%,"1,281",6.83%,0,72,"15,972",24,"1,493",7,766,16,250,3,113,3,152,19,8.58,8.65,6.1
(V21) (6409AA) VANURS Palo Alto,0,0,0.00%,0,0.00%,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,
(V21) (640A0) Palo Alto-Menlo Pk,"2,697","2,386",88.47%,311,11.53%,0,8,"2,152",0,234,0,188,0,85,0,35,0,3,8,6.74,14.06,10.77
(V21) (640A4) Palo Alto VAMC-Livermore,"6,702","6,026",89.91%,676,10.09%,0,7,"5,145",3,881,2,512,0,133,0,22,0,9,2,9.88,10.97,7.63
(V21) (640BY) San Jose,"3,390","3,195",94.25%,195,5.75%,0,3,"2,672",2,523,0,182,1,11,0,0,0,2,0,8.81,8.19,6.77
(V21) (640GA) Capitola,178,151,84.83%,27,15.17%,0,1,119,0,32,0,2,1,0,0,1,0,24,0,10.83,,22.6
(V21) (640GB) Sonora,693,541,78.07%,152,21.93%,0,111,422,7,119,7,138,14,8,29,6,54,0,0,24.76,,3.17
(V21) (640GC) Fremont,731,703,96.17%,28,3.83%,0,0,656,0,47,0,10,0,8,0,9,0,1,0,3.22,,9.83
(V21) (640HA) Stockton,"3,979","3,424",86.05%,555,13.95%,0,2,"3,049",1,375,0,385,1,134,0,30,0,6,0,12.96,1.2,20.44
(V21) (640HB) Modesto,"2,237","1,835",82.03%,402,17.97%,0,1,"1,560",1,275,0,196,0,151,0,47,0,8,0,26.42,6.93,16.05
(V21) (640HC) Monterey,"4,638","3,810",82.15%,828,17.85%,0,1,"3,187",0,623,0,661,0,157,1,8,0,2,0,21.48,13.88,5.84
"(V21) (654) Reno, NV","27,127","25,472",93.90%,"1,655",6.10%,5,50,"23,775",6,"1,697",4,"1,023",8,324,6,217,1,91,25,7.9,6.77,1.59
(V21) (654) Ioannis A Lougaris VAMC,"23,873","22,380",93.75%,"1,493",6.25%,0,46,"20,875",5,"1,505",4,899,8,308,5,209,1,77,23,8.19,6.83,1.47
(V21) (654GA) Sierra Foothills,991,970,97.88%,21,2.12%,0,2,943,0,27,0,15,0,3,0,2,0,1,2,2.85,0,2.89
