Organization,Specialty,FY11,FY12,FY13,FY14,FY15,ID
(V07) (534) MC CHARLESTON SC,16 EMERGENCY MEDICINE,-,-,-,0.2963,0.12,
(V07) (534) MC CHARLESTON SC,18 HEMATOLOGY,-,-,-,1,-,
(V07) (534) MC CHARLESTON SC,19 INFECTIOUS DISEASES,-,-,-,-,1,
(V07) (534) MC CHARLESTON SC,20 DERMATOLOGY,-,0.2308,0.3478,0.2069,-,
(V07) (534) MC CHARLESTON SC,21 GEN INTERNAL MED,0.0516,0.1261,0.0238,0.0484,0.0786,
(V07) (534) MC CHARLESTON SC,29 ENDOCRIN AND METAB,0.3529,-,0.3636,-,-,
(V07) (534) MC CHARLESTON SC,30 NEUROLOGY,-,-,-,0.2051,0.0789,
(V07) (534) MC CHARLESTON SC,31 PSYCHIATRY,-,0.0567,0.0275,0.0918,0.0425,
(V07) (534) MC CHARLESTON SC,38 RADIOLOGY-DIAGNOSTIC,0.6102,-,-,-,-,
(V07) (534) MC CHARLESTON SC,40 GERIATRICS,0.25,0.2353,-,-,-,
(V07) (534) MC CHARLESTON SC,43 PATHOLOGY,-,-,-,-,0.2927,
(V07) (534) MC CHARLESTON SC,44 PHYS MED & REHAB,-,0.6,-,-,-,
(V07) (534) MC CHARLESTON SC,49 FAMILY PRACTICE,-,0.3429,-,-,-,
(V07) (534) MC CHARLESTON SC,"57 PHYS--ADMIN, OTHER",-,-,-,-,0.8462,
(V07) (534) MC CHARLESTON SC,E6 CARDIOLOGY NON-INTER,-,0.1043,0.2264,-,-,
(V07) (534) MC CHARLESTON SC,P1 PRIMARY CARE,-,-,-,0.4045,0.0745,
(V07) (534) MC CHARLESTON SC,R3 HEMATOLOGY/ONCOLOGY,-,1,-,0.6667,0.2791,
(V07) (534) MC CHARLESTON SC,R4 VASCULAR SURGERY,-,-,0.4615,0.5,-,
(V07) (544) MC COLUMBIA SC,0602 Physician (All Specialties),0.0998,0.1302,0.1884,0.1494,0.0508,
(V07) (544) MC COLUMBIA SC,01 ANESTHESIOLOGY,-,0.1188,-,0.5,-,
(V07) (544) MC COLUMBIA SC,02 SURGERY,0.2182,-,0.6857,-,-,
(V07) (544) MC COLUMBIA SC,06 OPHTHALMOLOGY,-,-,-,0.8182,-,
(V07) (544) MC COLUMBIA SC,08 OTOLARYNGOLOGY,-,0.6,-,-,-,
(V07) (544) MC COLUMBIA SC,09 PLASTIC SURGERY,-,-,0.5714,-,-,
(V07) (544) MC COLUMBIA SC,12 UROLOGY,-,-,-,-,0.375,
(V07) (544) MC COLUMBIA SC,13 PHYSIATRY,-,-,0.4138,0.4138,-,
(V07) (544) MC COLUMBIA SC,16 EMERGENCY MEDICINE,0.1778,0.378,0.2051,-,-,
(V07) (544) MC COLUMBIA SC,19 INFECTIOUS DISEASES,-,-,0.3333,0.4615,0.3529,
(V07) (544) MC COLUMBIA SC,21 GEN INTERNAL MED,-,-,0.1446,-,-,
(V07) (544) MC COLUMBIA SC,25 GASTROENTEROLOGY,0.12,0.125,0.2424,-,-,
(V07) (544) MC COLUMBIA SC,26 PULMONARY DISEASES,-,0.1739,0.375,0.4,-,
(V07) (544) MC COLUMBIA SC,27 NEPHROLOGY,-,0.3871,-,0.2857,-,
(V07) (544) MC COLUMBIA SC,29 ENDOCRIN AND METAB,0.6316,0.48,-,-,-,
(V07) (544) MC COLUMBIA SC,30 NEUROLOGY,-,-,-,0.2222,-,
(V07) (544) MC COLUMBIA SC,31 PSYCHIATRY,0.0992,0.2532,0.3303,0.2025,0.1385,
(V07) (544) MC COLUMBIA SC,36 PREVENTIVE MEDICINE,0.9231,-,0.6667,-,-,
(V07) (544) MC COLUMBIA SC,38 RADIOLOGY-DIAGNOSTIC,-,-,0.2353,-,0.2182,
(V07) (544) MC COLUMBIA SC,40 GERIATRICS,-,-,-,0.375,-,
(V07) (544) MC COLUMBIA SC,43 PATHOLOGY,-,0.8,-,0.2182,-,
(V07) (544) MC COLUMBIA SC,44 PHYS MED & REHAB,-,1,-,1,-,
(V07) (544) MC COLUMBIA SC,49 FAMILY PRACTICE,0.2105,-,-,-,-,
(V07) (544) MC COLUMBIA SC,51 CHIEF OF STAFF,-,-,1,-,-,
(V07) (544) MC COLUMBIA SC,53 ASSOC CH/STAFF--EDUC,-,-,-,-,0.75,
(V07) (544) MC COLUMBIA SC,E6 CARDIOLOGY NON-INTER,-,0.5106,0.3,-,-,
(V07) (544) MC COLUMBIA SC,K6 HOSPITALIST,-,0.2353,0.1667,0.1935,-,
(V07) (544) MC COLUMBIA SC,M9 CARDIOLOGY-INTERVEN,0.8571,-,-,-,-,
(V07) (544) MC COLUMBIA SC,P1 PRIMARY CARE,0.1392,0.0275,0.2171,0.133,0.0512,
(V07) (557) MC DUBLIN GA,0602 Physician (All Specialties),0.1431,0.137,0.0514,0.1168,0.1088,
(V07) (557) MC DUBLIN GA,02 SURGERY,0.2727,-,-,0.2609,0.2857,
(V07) (557) MC DUBLIN GA,03 GYNECOLOGY,-,1,-,-,-,
(V07) (557) MC DUBLIN GA,12 UROLOGY,-,-,-,0.5714,1.3333,
(V07) (557) MC DUBLIN GA,21 GEN INTERNAL MED,-,0.1978,0.1283,0.1356,0.1237,
(V07) (557) MC DUBLIN GA,25 GASTROENTEROLOGY,1,-,-,-,-,
(V07) (557) MC DUBLIN GA,30 NEUROLOGY,-,-,-,1,-,
(V07) (557) MC DUBLIN GA,31 PSYCHIATRY,0.7347,-,-,-,-,
(V07) (557) MC DUBLIN GA,43 PATHOLOGY,-,1,-,-,-,
(V07) (557) MC DUBLIN GA,44 PHYS MED & REHAB,0.6667,-,-,-,-,
(V07) (557) MC DUBLIN GA,45 RADIOLOGY-INTERVENT,-,-,-,-,1,
(V07) (557) MC DUBLIN GA,49 FAMILY PRACTICE,-,0.15,-,-,0.0923,
(V07) (557) MC DUBLIN GA,E6 CARDIOLOGY NON-INTER,0.6,-,-,-,-,
(V07) (557) MC DUBLIN GA,E7 RADIOLOGY (NUCLEAR),-,-,-,1,-,
(V07) (557) MC DUBLIN GA,K6 HOSPITALIST,0.2222,0.2857,-,0.2609,-,
(V07) (557) MC DUBLIN GA,P1 PRIMARY CARE,-,-,0.1905,-,-,
(V07) (619) HCS MONTGOMERY AL,0602 Physician (All Specialties),0.0993,0.1154,0.1037,0.0584,0.1168,
(V07) (619) HCS MONTGOMERY AL,01 ANESTHESIOLOGY,0.2927,-,-,-,-,
(V07) (619) HCS MONTGOMERY AL,02 SURGERY,-,0.2609,-,0.4444,0.3636,
(V07) (619) HCS MONTGOMERY AL,06 OPHTHALMOLOGY,-,-,-,1,-,
(V07) (619) HCS MONTGOMERY AL,07 ORTHOPEDIC SURGERY,-,-,-,-,0.5217,
(V07) (619) HCS MONTGOMERY AL,16 EMERGENCY MEDICINE,0.1765,0.2143,0.2857,-,0.7273,
(V07) (619) HCS MONTGOMERY AL,21 GEN INTERNAL MED,0.095,0.1739,0.1075,0.0372,0.0374,
(V07) (619) HCS MONTGOMERY AL,26 PULMONARY DISEASES,-,-,-,1,-,
(V07) (619) HCS MONTGOMERY AL,30 NEUROLOGY,-,-,1,-,-,
(V07) (619) HCS MONTGOMERY AL,31 PSYCHIATRY,0.1778,-,0.0706,-,0.0678,
(V07) (619) HCS MONTGOMERY AL,38 RADIOLOGY-DIAGNOSTIC,-,-,0.3,-,0.8,
(V07) (619) HCS MONTGOMERY AL,43 PATHOLOGY,-,0.3429,-,-,-,
(V07) (619) HCS MONTGOMERY AL,45 RADIOLOGY-INTERVENT,-,-,-,1,-,
(V07) (619) HCS MONTGOMERY AL,49 FAMILY PRACTICE,0.24,0.2308,-,-,-,
(V07) (619) HCS MONTGOMERY AL,51 CHIEF OF STAFF,-,-,-,-,1,
(V07) (619) HCS MONTGOMERY AL,E6 CARDIOLOGY NON-INTER,-,-,0.3636,-,-,
(V07) (679) MC TUSCALOOSA AL,0602 Physician (All Specialties),0.1234,0.0282,0.0283,0.0521,0.2143,
(V07) (679) MC TUSCALOOSA AL,21 GEN INTERNAL MED,0.2526,0.1429,-,0.1188,-,
(V07) (679) MC TUSCALOOSA AL,31 PSYCHIATRY,-,-,-,0.0585,0.24,
(V07) (679) MC TUSCALOOSA AL,40 GERIATRICS,-,-,0.6316,-,0.4,
(V07) (679) MC TUSCALOOSA AL,49 FAMILY PRACTICE,0.1846,-,-,-,0.1525,
(V07) (679) MC TUSCALOOSA AL,51 CHIEF OF STAFF,1,-,-,-,1,
(V07) (679) MC TUSCALOOSA AL,P1 PRIMARY CARE,-,-,-,-,0.2759,
V08,0602 Physician (All Specialties),0.0772,0.0659,0.0656,0.0687,0.0686,
V08,01 ANESTHESIOLOGY,0.0697,0.1188,0.0477,0.0441,0.0837,
V08,02 SURGERY,0.0725,0.1154,0.0744,0.1007,0.0811,
V08,03 GYNECOLOGY,0.1311,-,-,0.0764,-,
V08,06 OPHTHALMOLOGY,0.0915,0.0181,0.1,0.1563,0.0678,
V08,07 ORTHOPEDIC SURGERY,0.2084,0.0294,0.0549,0.0244,0.1449,
V08,08 OTOLARYNGOLOGY,0.1558,0.125,0.0816,0.0772,0.0385,
V08,09 PLASTIC SURGERY,0.06,0.1263,0.0632,0.0556,0.0504,
V08,10 COLON & RECTAL SURG,-,-,-,-,0.3333,
V08,11 THORACIC SURGERY,0.381,-,0.4286,-,-,
V08,12 UROLOGY,0.1435,0.0577,0.0591,0.0587,0.0839,
V08,13 PHYSIATRY,0.1463,-,0.2087,0.0876,-,
V08,16 EMERGENCY MEDICINE,0.0814,0.0738,0.071,0.0376,0.0758,
V08,18 HEMATOLOGY,-,0.338,0.2105,-,-,
V08,19 INFECTIOUS DISEASES,0.0484,-,0.2043,0.098,0.0769,
V08,20 DERMATOLOGY,0.1008,0.1345,0.1705,0.102,0.2222,
V08,21 GEN INTERNAL MED,0.0783,0.0598,0.0446,0.0622,0.0531,
V08,23 ALLERGY & IMMUNOLOGY,-,-,0.15,-,0.125,
V08,25 GASTROENTEROLOGY,0.1014,0.0423,-,0.0385,0.0716,
V08,26 PULMONARY DISEASES,0.0646,0.0884,0.0407,0.1014,0.0602,
V08,27 NEPHROLOGY,-,0.0952,0.0415,0.0792,0.0356,
V08,28 RHEUMATOLOGY,-,-,-,0.0702,0.1218,
V08,29 ENDOCRIN AND METAB,-,0.0524,0.0502,-,0.1208,
V08,30 NEUROLOGY,0.0976,0.1437,0.0432,0.0204,0.1003,
V08,31 PSYCHIATRY,0.086,0.0847,0.0656,0.0544,0.042,
V08,36 PREVENTIVE MEDICINE,-,-,0.4,-,0.2927,
V08,38 RADIOLOGY-DIAGNOSTIC,0.0972,0.0837,0.0789,0.092,0.0566,
V08,40 GERIATRICS,0.0252,-,0.025,-,0.0652,
V08,42 PARAPLEGIA,-,0.2034,-,-,-,
V08,43 PATHOLOGY,-,0.0622,0.0629,0.0841,0.0195,
V08,44 PHYS MED & REHAB,0.0152,0.0482,0.0335,0.0518,0.0166,
V08,45 RADIOLOGY-INTERVENT,0.1026,-,0.1,0.2,0.0478,
V08,46 NUCLEAR MEDICINE,-,0.0612,0.1244,0.0612,0.0625,
V08,49 FAMILY PRACTICE,0.0705,0.0429,0.0566,0.0461,0.0772,
V08,"57 PHYS--ADMIN, OTHER",0.1579,0.087,-,-,0.384,
V08,59 ASSOC COS AMBUL CARE,-,0.5217,-,-,0.3158,
V08,E4 CARDIOVAS/THOR SGR,0.1622,-,0.1364,0.1017,0.0759,
V08,E5 NEUROSURGERY,0.1263,0.1111,-,0.3243,-,
V08,E6 CARDIOLOGY NON-INTER,0.0604,0.0197,0.0627,0.087,0.0887,
V08,G9 RADIATION ONCOLOGY,-,-,-,0.2,-,
V08,H3 AMBULATORY CARE FELW,-,-,1,-,-,
V08,H4 PALL CARE MED FELLOW,-,-,-,1,-,
V08,H7 HLTH SVCS RESCH FELW,-,-,2.25,-,-,
V08,K6 HOSPITALIST,0.1331,0.1064,0.0429,0.0449,0.0644,
V08,K8 CRITICAL CARE,-,0.3871,-,-,-,
V08,M9 CARDIOLOGY-INTERVEN,-,0.0571,0.0486,0.1233,0.1569,
V08,N9 CARDIAC ELECTROPHY,-,0.5714,-,-,-,
V08,P1 PRIMARY CARE,0.0537,0.0245,0.1173,0.1047,0.093,
V08,R3 HEMATOLOGY/ONCOLOGY,0.1525,0.1043,-,0.1343,0.0438,
V08,R4 VASCULAR SURGERY,0.1778,0.087,-,0.0638,0.1231,
(V08) (516) MC BAY PINES FL,0602 Physician (All Specialties),0.0753,0.0889,0.082,0.0848,0.0952,
(V08) (516) MC BAY PINES FL,01 ANESTHESIOLOGY,-,0.2553,-,0.1008,-,
(V08) (516) MC BAY PINES FL,02 SURGERY,-,0.1481,-,-,0.2824,
(V08) (516) MC BAY PINES FL,07 ORTHOPEDIC SURGERY,0.3478,0.2,-,-,0.3117,
(V08) (516) MC BAY PINES FL,08 OTOLARYNGOLOGY,-,1,1,-,-,
(V08) (516) MC BAY PINES FL,09 PLASTIC SURGERY,-,0.3636,-,-,-,
(V08) (516) MC BAY PINES FL,11 THORACIC SURGERY,1,-,-,-,-,
(V08) (516) MC BAY PINES FL,12 UROLOGY,0.3871,-,-,-,0.3636,
(V08) (516) MC BAY PINES FL,13 PHYSIATRY,0.2609,-,0.8,0.3077,-,
(V08) (516) MC BAY PINES FL,16 EMERGENCY MEDICINE,0.1333,0.1364,0.1589,0.0663,0.1206,
(V08) (516) MC BAY PINES FL,20 DERMATOLOGY,-,-,-,-,0.25,
(V08) (516) MC BAY PINES FL,21 GEN INTERNAL MED,-,0.1188,0.1319,-,-,
(V08) (516) MC BAY PINES FL,25 GASTROENTEROLOGY,0.1319,-,-,-,0.1176,
(V08) (516) MC BAY PINES FL,26 PULMONARY DISEASES,-,-,-,-,0.1379,
(V08) (516) MC BAY PINES FL,27 NEPHROLOGY,-,0.2727,-,0.2222,-,
(V08) (516) MC BAY PINES FL,29 ENDOCRIN AND METAB,-,-,-,-,0.2449,
(V08) (516) MC BAY PINES FL,30 NEUROLOGY,-,0.169,-,-,0.1791,
(V08) (516) MC BAY PINES FL,31 PSYCHIATRY,0.1076,0.099,0.123,0.0964,0.1161,
(V08) (516) MC BAY PINES FL,38 RADIOLOGY-DIAGNOSTIC,0.1967,0.0952,-,0.1548,-,
(V08) (516) MC BAY PINES FL,40 GERIATRICS,-,-,-,-,0.1319,
(V08) (516) MC BAY PINES FL,43 PATHOLOGY,-,-,0.1463,-,0.1429,
(V08) (516) MC BAY PINES FL,45 RADIOLOGY-INTERVENT,-,-,-,0.4615,-,
(V08) (516) MC BAY PINES FL,46 NUCLEAR MEDICINE,-,-,0.96,-,-,
(V08) (516) MC BAY PINES FL,E6 CARDIOLOGY NON-INTER,-,0.1622,0.25,-,0.2222,
(V08) (516) MC BAY PINES FL,K6 HOSPITALIST,0.1429,0.1408,0.036,0.115,-,
(V08) (516) MC BAY PINES FL,M9 CARDIOLOGY-INTERVEN,-,-,-,0.3564,0.1333,
(V08) (516) MC BAY PINES FL,N9 CARDIAC ELECTROPHY,-,1,-,-,-,
(V08) (516) MC BAY PINES FL,P1 PRIMARY CARE,0.04,0.0397,0.1055,0.1039,0.0815,
(V08) (516) MC BAY PINES FL,R3 HEMATOLOGY/ONCOLOGY,-,0.1765,-,0.1714,0.1967,
(V08) (516) MC BAY PINES FL,R4 VASCULAR SURGERY,-,-,-,-,0.2857,
(V08) (546) MC MIAMI FL,0602 Physician (All Specialties),0.0655,0.0857,0.0666,0.0649,0.0906,
(V08) (546) MC MIAMI FL,01 ANESTHESIOLOGY,-,0.1967,-,-,0.0727,
(V08) (546) MC MIAMI FL,02 SURGERY,-,-,-,0.375,-,
(V08) (546) MC MIAMI FL,06 OPHTHALMOLOGY,0.2308,-,-,0.1622,-,
(V08) (546) MC MIAMI FL,07 ORTHOPEDIC SURGERY,0.2553,-,0.375,-,-,
(V08) (546) MC MIAMI FL,10 COLON & RECTAL SURG,-,-,-,-,0.5,
(V08) (546) MC MIAMI FL,16 EMERGENCY MEDICINE,0.0863,0.1263,0.15,0.1538,0.1319,
(V08) (546) MC MIAMI FL,18 HEMATOLOGY,-,1,-,-,-,
(V08) (546) MC MIAMI FL,20 DERMATOLOGY,-,-,-,-,0.1165,
(V08) (546) MC MIAMI FL,21 GEN INTERNAL MED,0.0642,0.1169,0.0678,0.0619,-,
(V08) (546) MC MIAMI FL,23 ALLERGY & IMMUNOLOGY,-,-,0.625,-,-,
(V08) (546) MC MIAMI FL,25 GASTROENTEROLOGY,0.1667,-,-,-,0.2105,
(V08) (546) MC MIAMI FL,26 PULMONARY DISEASES,0.2667,-,-,0.2069,0.2667,
(V08) (546) MC MIAMI FL,27 NEPHROLOGY,-,-,0.3429,-,0.3333,
(V08) (546) MC MIAMI FL,29 ENDOCRIN AND METAB,-,0.3243,-,-,-,
(V08) (546) MC MIAMI FL,30 NEUROLOGY,0.2667,0.2526,-,0.1026,0.2424,
(V08) (546) MC MIAMI FL,31 PSYCHIATRY,-,0.075,0.0941,-,0.0643,
(V08) (546) MC MIAMI FL,36 PREVENTIVE MEDICINE,-,-,-,-,1,
(V08) (546) MC MIAMI FL,38 RADIOLOGY-DIAGNOSTIC,0.1212,0.2449,0.1333,-,-,
(V08) (546) MC MIAMI FL,40 GERIATRICS,0.0882,-,0.1,-,-,
(V08) (546) MC MIAMI FL,43 PATHOLOGY,-,-,-,0.2182,-,
(V08) (546) MC MIAMI FL,44 PHYS MED & REHAB,-,0.1165,0.1348,-,0.0923,
(V08) (546) MC MIAMI FL,46 NUCLEAR MEDICINE,-,0.4444,-,0.6316,-,
(V08) (546) MC MIAMI FL,49 FAMILY PRACTICE,0.169,-,-,-,1,
(V08) (546) MC MIAMI FL,59 ASSOC COS AMBUL CARE,-,1,-,-,-,
(V08) (546) MC MIAMI FL,E4 CARDIOVAS/THOR SGR,-,-,-,0.5,0.2927,
(V08) (546) MC MIAMI FL,E6 CARDIOLOGY NON-INTER,-,-,-,0.1967,-,
(V08) (546) MC MIAMI FL,G9 RADIATION ONCOLOGY,-,-,-,1,-,
(V08) (546) MC MIAMI FL,K6 HOSPITALIST,-,-,-,-,0.3186,
(V08) (546) MC MIAMI FL,M9 CARDIOLOGY-INTERVEN,-,-,-,-,0.3529,
(V08) (546) MC MIAMI FL,P1 PRIMARY CARE,-,0.0548,0.102,0.0347,0.0647,
(V08) (546) MC MIAMI FL,R3 HEMATOLOGY/ONCOLOGY,-,-,-,0.8,-,
(V08) (546) MC MIAMI FL,R4 VASCULAR SURGERY,0.5455,-,-,0.4138,-,
(V08) (548) MC W PALM BEACH FL,0602 Physician (All Specialties),0.0947,0.0517,0.0554,0.0637,0.0862,
(V08) (548) MC W PALM BEACH FL,01 ANESTHESIOLOGY,0.2553,-,-,0.2243,0.3871,
(V08) (548) MC W PALM BEACH FL,02 SURGERY,0.2667,0.2553,-,0.2264,-,
(V08) (548) MC W PALM BEACH FL,06 OPHTHALMOLOGY,-,-,-,-,0.3429,
(V08) (548) MC W PALM BEACH FL,07 ORTHOPEDIC SURGERY,0.8571,-,-,-,0.2222,
(V08) (548) MC W PALM BEACH FL,08 OTOLARYNGOLOGY,-,0.5,0.4138,-,0.3871,
(V08) (548) MC W PALM BEACH FL,12 UROLOGY,-,-,0.3077,0.3871,-,
(V08) (548) MC W PALM BEACH FL,16 EMERGENCY MEDICINE,0.0902,0.2,0.0876,-,0.0851,
(V08) (548) MC W PALM BEACH FL,19 INFECTIOUS DISEASES,-,-,0.6316,-,-,
(V08) (548) MC W PALM BEACH FL,20 DERMATOLOGY,-,-,-,0.3529,0.2553,
(V08) (548) MC W PALM BEACH FL,21 GEN INTERNAL MED,0.1198,-,0.0464,0.0453,0.0454,
(V08) (548) MC W PALM BEACH FL,26 PULMONARY DISEASES,-,0.0992,-,0.3214,-,
(V08) (548) MC W PALM BEACH FL,31 PSYCHIATRY,0.067,0.1171,0.0522,-,0.0822,
(V08) (548) MC W PALM BEACH FL,36 PREVENTIVE MEDICINE,-,-,1,-,-,
(V08) (548) MC W PALM BEACH FL,38 RADIOLOGY-DIAGNOSTIC,-,0.1348,-,0.1212,0.1111,
(V08) (548) MC W PALM BEACH FL,43 PATHOLOGY,-,0.2791,0.3158,-,-,
(V08) (548) MC W PALM BEACH FL,49 FAMILY PRACTICE,0.2308,-,-,0.3333,-,
(V08) (548) MC W PALM BEACH FL,E6 CARDIOLOGY NON-INTER,-,-,-,-,0.2182,
(V08) (548) MC W PALM BEACH FL,K6 HOSPITALIST,0.2927,-,0.1043,-,0.0789,
(V08) (548) MC W PALM BEACH FL,M9 CARDIOLOGY-INTERVEN,-,-,-,-,0.48,
(V08) (573) HCS GAINESVILLE FL,0602 Physician (All Specialties),0.1129,0.0592,0.0945,0.0707,0.0713,
(V08) (573) HCS GAINESVILLE FL,01 ANESTHESIOLOGY,0.0667,0.2069,0.1395,-,-,
(V08) (573) HCS GAINESVILLE FL,02 SURGERY,0.1905,-,0.1957,0.1678,0.0923,
(V08) (573) HCS GAINESVILLE FL,03 GYNECOLOGY,0.1739,-,-,-,-,
(V08) (573) HCS GAINESVILLE FL,06 OPHTHALMOLOGY,0.3333,0.1081,0.4645,0.4918,0.1176,
(V08) (573) HCS GAINESVILLE FL,07 ORTHOPEDIC SURGERY,-,-,0.1519,0.1143,-,
(V08) (573) HCS GAINESVILLE FL,09 PLASTIC SURGERY,0.2034,0.2553,-,0.2449,-,
(V08) (573) HCS GAINESVILLE FL,12 UROLOGY,0.1519,0.338,-,-,0.16,
(V08) (573) HCS GAINESVILLE FL,16 EMERGENCY MEDICINE,0.0652,-,-,0.0484,0.083,
(V08) (573) HCS GAINESVILLE FL,18 HEMATOLOGY,-,0.375,0.5714,-,-,
(V08) (573) HCS GAINESVILLE FL,19 INFECTIOUS DISEASES,0.2105,-,0.4706,-,-,
(V08) (573) HCS GAINESVILLE FL,20 DERMATOLOGY,0.2857,0.2182,0.3,-,0.4068,
(V08) (573) HCS GAINESVILLE FL,21 GEN INTERNAL MED,0.0991,0.0426,0.0734,0.0704,0.1132,
(V08) (573) HCS GAINESVILLE FL,25 GASTROENTEROLOGY,-,-,-,0.1348,0.1043,
(V08) (573) HCS GAINESVILLE FL,26 PULMONARY DISEASES,0.3243,0.1579,0.2581,-,-,
(V08) (573) HCS GAINESVILLE FL,28 RHEUMATOLOGY,-,-,-,-,0.5455,
(V08) (573) HCS GAINESVILLE FL,29 ENDOCRIN AND METAB,-,-,-,-,0.2222,
(V08) (573) HCS GAINESVILLE FL,30 NEUROLOGY,0.3077,-,0.16,-,-,
(V08) (573) HCS GAINESVILLE FL,31 PSYCHIATRY,0.1311,0.1064,0.0581,0.0678,0.03,
(V08) (573) HCS GAINESVILLE FL,38 RADIOLOGY-DIAGNOSTIC,0.1026,-,0.1925,0.0659,0.1218,
(V08) (573) HCS GAINESVILLE FL,43 PATHOLOGY,-,-,0.1263,-,-,
(V08) (573) HCS GAINESVILLE FL,45 RADIOLOGY-INTERVENT,0.1319,-,0.2857,0.2637,0.1429,
(V08) (573) HCS GAINESVILLE FL,46 NUCLEAR MEDICINE,-,-,-,-,0.3636,
(V08) (573) HCS GAINESVILLE FL,49 FAMILY PRACTICE,0.0774,0.1727,0.0909,-,-,
(V08) (573) HCS GAINESVILLE FL,"57 PHYS--ADMIN, OTHER",0.1875,0.1053,-,-,0.3273,
(V08) (573) HCS GAINESVILLE FL,E5 NEUROSURGERY,-,-,-,0.4706,-,
(V08) (573) HCS GAINESVILLE FL,E6 CARDIOLOGY NON-INTER,0.1983,-,0.0828,0.186,-,
(V08) (573) HCS GAINESVILLE FL,K6 HOSPITALIST,0.2553,0.3243,-,-,0.0736,
(V08) (573) HCS GAINESVILLE FL,P1 PRIMARY CARE,0.1091,-,0.0781,0.078,0.0313,
(V08) (573) HCS GAINESVILLE FL,R3 HEMATOLOGY/ONCOLOGY,0.2105,-,-,-,-,
(V08) (573) HCS GAINESVILLE FL,R4 VASCULAR SURGERY,-,-,-,-,0.5217,
(V08) (672) MC SAN JUAN PR,0602 Physician (All Specialties),0.0568,0.0427,0.0195,0.0396,0.016,
(V08) (672) MC SAN JUAN PR,02 SURGERY,-,0.1026,-,-,-,
(V08) (672) MC SAN JUAN PR,06 OPHTHALMOLOGY,-,-,-,0.1569,-,
(V08) (672) MC SAN JUAN PR,07 ORTHOPEDIC SURGERY,-,-,-,-,0.1395,
(V08) (672) MC SAN JUAN PR,12 UROLOGY,0.1,-,0.1053,-,-,
(V08) (672) MC SAN JUAN PR,16 EMERGENCY MEDICINE,0.1034,-,0.1081,-,-,
(V08) (672) MC SAN JUAN PR,19 INFECTIOUS DISEASES,-,-,-,0.4138,-,
(V08) (672) MC SAN JUAN PR,20 DERMATOLOGY,-,-,0.3429,-,-,
(V08) (672) MC SAN JUAN PR,21 GEN INTERNAL MED,0.095,0.0539,-,0.043,-,
(V08) (672) MC SAN JUAN PR,25 GASTROENTEROLOGY,0.1739,-,-,-,-,
(V08) (672) MC SAN JUAN PR,26 PULMONARY DISEASES,-,0.2857,-,-,-,
(V08) (672) MC SAN JUAN PR,27 NEPHROLOGY,-,0.2034,-,0.3243,-,
(V08) (672) MC SAN JUAN PR,29 ENDOCRIN AND METAB,-,-,-,-,0.3636,
(V08) (672) MC SAN JUAN PR,31 PSYCHIATRY,0.0838,0.0846,0.0317,-,0.0153,
(V08) (672) MC SAN JUAN PR,38 RADIOLOGY-DIAGNOSTIC,0.1935,-,-,0.1364,-,
(V08) (672) MC SAN JUAN PR,43 PATHOLOGY,-,0.1579,-,0.4,-,
(V08) (672) MC SAN JUAN PR,44 PHYS MED & REHAB,-,-,-,0.0426,-,
(V08) (672) MC SAN JUAN PR,49 FAMILY PRACTICE,-,-,0.0591,0.031,0.0611,
(V08) (672) MC SAN JUAN PR,E4 CARDIOVAS/THOR SGR,1,-,-,-,-,
(V08) (672) MC SAN JUAN PR,E5 NEUROSURGERY,-,0.3333,-,0.3429,-,
(V08) (672) MC SAN JUAN PR,K6 HOSPITALIST,-,-,-,-,0.0992,
(V08) (673) MC TAMPA FL,0602 Physician (All Specialties),0.0579,0.0797,0.0604,0.0683,0.0443,
(V08) (673) MC TAMPA FL,01 ANESTHESIOLOGY,0.093,-,0.1026,-,0.1017,
(V08) (673) MC TAMPA FL,02 SURGERY,0.0702,0.2384,0.0889,0.0909,0.1081,
(V08) (673) MC TAMPA FL,03 GYNECOLOGY,0.4,-,-,-,-,
(V08) (673) MC TAMPA FL,07 ORTHOPEDIC SURGERY,-,-,-,-,0.4211,
(V08) (673) MC TAMPA FL,08 OTOLARYNGOLOGY,0.2628,0.1154,-,0.2069,-,
(V08) (673) MC TAMPA FL,09 PLASTIC SURGERY,-,-,0.1714,-,0.1714,
(V08) (673) MC TAMPA FL,11 THORACIC SURGERY,0.3429,-,1,-,-,
(V08) (673) MC TAMPA FL,16 EMERGENCY MEDICINE,-,-,-,-,0.0606,
(V08) (673) MC TAMPA FL,19 INFECTIOUS DISEASES,-,-,0.1739,0.1875,-,
(V08) (673) MC TAMPA FL,20 DERMATOLOGY,-,0.2697,0.3711,0.2609,0.2182,
(V08) (673) MC TAMPA FL,21 GEN INTERNAL MED,0.0505,0.0857,0.0297,0.1011,0.0471,
(V08) (673) MC TAMPA FL,23 ALLERGY & IMMUNOLOGY,-,-,-,-,0.3333,
(V08) (673) MC TAMPA FL,25 GASTROENTEROLOGY,0.1263,0.1379,-,-,-,
(V08) (673) MC TAMPA FL,26 PULMONARY DISEASES,-,-,-,-,0.1111,
(V08) (673) MC TAMPA FL,28 RHEUMATOLOGY,-,-,-,0.3158,-,
(V08) (673) MC TAMPA FL,29 ENDOCRIN AND METAB,-,-,0.1481,-,-,
(V08) (673) MC TAMPA FL,30 NEUROLOGY,-,0.2293,0.0674,-,0.0706,
