"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: August 2016","Total Completed
Appointments 1","Completed within
30 Days 2","Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15"
"(V22) (593) Las Vegas, NV","47,849","44,981",94.01%,"2,868",5.99%,"39,364","2,570","3,047","1,819",752,281,16,6.14,7.97,4.78
"(V22) (593) Las Vegas VA Medical
Center","32,759","30,655",93.58%,"2,104",6.42%,"26,914","1,704","2,037","1,215",611,263,15,3.6,8,4.16
(V22) (593GC) Pahrump,882,879,99.66%,3,0.34%,842,30,7,1,1,1,0,1.05,0,1.24
"(V22) (593GD) Northwest Las Vegas
VA Clinic","3,995","3,773",94.44%,222,5.56%,"3,216",242,315,167,51,4,0,7.23,5.31,6.15
"(V22) (593GE) Southeast Las Vegas
VA Clinic","3,065","2,938",95.86%,127,4.14%,"2,613",155,170,93,24,10,0,5.84,3.07,4.22
"(V22) (593GF) Southwest Las Vegas
VA Clinic","4,137","3,980",96.20%,157,3.80%,"3,368",244,368,131,25,0,1,6.09,10.89,5.18
"(V22) (593GG) Northeast Las Vegas
VA Clinic","2,726","2,505",91.89%,221,8.11%,"2,216",168,121,185,35,1,0,7.35,8.4,6.47
(V22) (593GH) Laughlin,285,251,88.07%,34,11.93%,195,27,29,27,5,2,0,9.85,0,
"(V22) (600) Long Beach, CA","58,863","57,630",97.91%,"1,233",2.09%,"52,383","2,646","2,601",916,233,68,16,4.16,4.24,3.27
"(V22) (600) Long Beach VA Medical
Center","52,682","51,527",97.81%,"1,155",2.19%,"47,147","2,090","2,290",854,217,68,16,4.08,4.23,2.86
(V22) (600GA) Anaheim,"1,199","1,162",96.91%,37,3.09%,986,98,78,29,8,0,0,4.76,0,6.19
(V22) (600GB) Santa Ana,"2,145","2,113",98.51%,32,1.49%,"1,735",240,138,26,6,0,0,5.11,4.95,3.24
(V22) (600GC) Cabrillo,"1,192","1,185",99.41%,7,0.59%,"1,175",7,3,6,1,0,0,1.2,0,7.16
(V22) (600GD) Whittier,715,715,100.00%,0,0.00%,588,85,42,0,0,0,0,3.4,0,5.56
(V22) (600GE) Laguna Hills,930,928,99.78%,2,0.22%,752,126,50,1,1,0,0,4.36,0,3.93
"(V22) (605) Loma Linda, CA","57,647","54,254",94.11%,"3,393",5.89%,"47,999","2,729","3,526","2,269",797,228,99,7.28,7.58,4.48
"(V22) (605) Jerry L Pettis Memorial
Veterans Hospital","49,119","46,427",94.52%,"2,692",5.48%,"41,082","2,275","3,070","1,868",565,164,95,4.84,7.68,3.78
(V22) (605GA) Victorville,"1,421","1,254",88.25%,167,11.75%,"1,116",69,69,91,38,35,3,15.54,2.81,9.38
(V22) (605GB) Murrieta,"2,120","1,757",82.88%,363,17.12%,"1,408",171,178,172,162,28,1,21.7,16.16,4.4
(V22) (605GC) Palm Desert,"2,229","2,212",99.24%,17,0.76%,"2,119",56,37,15,2,0,0,2.07,1.15,0.05
(V22) (605GD) Corona,"1,023",954,93.26%,69,6.74%,765,88,101,61,8,0,0,13.48,0,4.03
(V22) (605GE) Rancho Cucamonga,"1,735","1,650",95.10%,85,4.90%,"1,509",70,71,62,22,1,0,2.54,0.56,12.22
"(V22) (664) San Diego, CA","60,297","57,433",95.25%,"2,864",4.75%,"50,070","3,332","4,031","1,984",650,192,38,2.68,8.13,5.38
"(V22) (664) San Diego VA Medical
Center","36,230","34,259",94.56%,"1,971",5.44%,"30,354","1,793","2,112","1,330",478,133,30,3.59,7.79,3.54
(V22) (664BU) San Diego Domiciliary,137,137,100.00%,0,0.00%,137,0,0,0,0,0,0,,,
(V22) (664BY) Mission Valley,"11,509","11,145",96.84%,364,3.16%,"9,151",840,"1,154",278,67,16,3,3.03,9.14,8.93
(V22) (664GA) Imperial Valley,557,557,100.00%,0,0.00%,540,13,4,0,0,0,0,0.8,0.93,0.96
(V22) (664GB) Oceanside,"8,352","7,971",95.44%,381,4.56%,"6,815",517,639,257,80,41,3,1.85,8.36,4.07
(V22) (664GC) Chula Vista,"2,147","2,014",93.81%,133,6.19%,"1,816",103,95,108,22,2,1,2.44,11.06,8.63
(V22) (664GD) Escondido,"1,365","1,350",98.90%,15,1.10%,"1,257",66,27,11,3,0,1,1.39,0,5.6
(V22) (691) Greater Los Angeles HCS,"70,257","65,461",93.17%,"4,796",6.83%,"56,445","4,038","4,978","3,411",995,284,106,5.75,9.58,4.24
"(V22) (691) West Los Angeles VA
Medical Center","32,692","30,325",92.76%,"2,367",7.24%,"26,238","1,764","2,323","1,649",538,125,55,3.96,9.4,4.04
"(V22) (691A4) Sepulveda VA Medical
Center","16,121","14,895",92.40%,"1,226",7.60%,"12,595","1,001","1,299",894,261,61,10,4.6,10.73,2.9
(V22) (691GB) Santa Barbara,951,943,99.16%,8,0.84%,825,59,59,8,0,0,0,3.59,0,1.69
(V22) (691GC) Gardena,714,701,98.18%,13,1.82%,666,17,18,11,2,0,0,1.12,0.66,7.36
(V22) (691GD) Bakersfield,"3,639","3,548",97.50%,91,2.50%,"3,255",164,129,38,21,32,0,2.26,9.94,1.44
(V22) (691GE) Los Angeles,"8,935","8,606",96.32%,329,3.68%,"7,743",454,409,264,56,8,1,2.48,9.79,3.83
(V22) (691GF) East Los Angeles,782,782,100.00%,0,0.00%,700,46,36,0,0,0,0,4.35,,3.11
(V22) (691GG) Antelope Valley,895,861,96.20%,34,3.80%,593,77,191,28,2,2,2,11.76,0.38,1.05
(V22) (691GK) San Luis Obispo,858,806,93.94%,52,6.06%,609,105,92,43,9,0,0,8.76,11.63,1.84
(V22) (691GL) Santa Maria,"2,609","2,377",91.11%,232,8.89%,"1,974",219,184,165,63,4,0,11.27,6.02,10.37
(V22) (691GM) Oxnard,"2,061","1,617",78.46%,444,21.54%,"1,247",132,238,311,43,52,38,25.92,0.61,7.92
"(V23) (437) Fargo, ND","18,543","17,951",96.81%,592,3.19%,"16,404",727,820,416,127,45,4,2.68,6,1.01
(V23) (437) Fargo VAMC,"13,531","13,022",96.24%,509,3.76%,"11,838",556,628,351,113,41,4,2.67,6,0.9
(V23) (437GA) Grafton,229,226,98.69%,3,1.31%,201,13,12,3,0,0,0,4,0,2.35
(V23) (437GB) Bismarck,"1,599","1,563",97.75%,36,2.25%,"1,452",42,69,20,12,4,0,1.3,8.39,1.71
(V23) (437GC) Fergus Falls,489,488,99.80%,1,0.20%,473,9,6,1,0,0,0,1.05,2.38,1.06
(V23) (437GD) Minot,578,578,100.00%,0,0.00%,541,30,7,0,0,0,0,1.61,3.54,1.22
(V23) (437GE) Bemidji,"1,026",990,96.49%,36,3.51%,860,53,77,35,1,0,0,7.29,0.7,1.53
(V23) (437GF) Williston,313,311,99.36%,2,0.64%,307,2,2,1,1,0,0,0.3,6.05,0
(V23) (437GI) Grand Forks,778,773,99.36%,5,0.64%,732,22,19,5,0,0,0,1.68,2.07,0.17
"(V23) (438) Sioux Falls, SD","21,436","20,480",95.54%,956,4.46%,"18,210","1,144","1,126",636,215,82,23,2.28,8.57,2.36
(V23) (438) Royal C. Johnson VAMC,"15,965","15,156",94.93%,809,5.07%,"13,334",884,938,542,185,67,15,1.98,8.24,2.43
(V23) (438GA) Spirit Lake,"1,147","1,118",97.47%,29,2.53%,983,92,43,28,1,0,0,4.34,5.59,1.75
(V23) (438GC) Sioux City,"1,658","1,641",98.97%,17,1.03%,"1,482",90,69,17,0,0,0,2.92,5.3,2.64
(V23) (438GD) Aberdeen,"1,361","1,288",94.64%,73,5.36%,"1,239",26,23,34,20,12,7,0.47,25.44,0.88
(V23) (438GE) Wagner,179,171,95.53%,8,4.47%,126,17,28,8,0,0,0,8.62,0,14.22
(V23) (438GF) Watertown,"1,126","1,106",98.22%,20,1.78%,"1,046",35,25,7,9,3,1,0.8,7.33,1.13
"(V23) (568) Black Hills HCS, SD","14,029","13,263",94.54%,766,5.46%,"11,602",760,901,635,117,4,10,5.26,9.66,2.94
(V23) (568) Fort Meade VAMC,"6,627","6,104",92.11%,523,7.89%,"5,174",407,523,438,82,1,2,5.34,10.07,1.46
(V23) (568A4) Hot Springs,"4,593","4,453",96.95%,140,3.05%,"4,184",111,158,95,34,3,8,5.86,7.88,3.01
(V23) (568GA) Rapid City,"2,036","1,937",95.14%,99,4.86%,"1,573",172,192,98,1,0,0,6.36,13.4,4.42
(V23) (568GB) Pierre,174,173,99.43%,1,0.57%,156,10,7,1,0,0,0,1.91,,3.68
(V23) (568HA) Newcastle,16,16,100.00%,0,0.00%,5,10,1,0,0,0,0,11.45,,6.6
(V23) (568HB) Gordon CBOC,24,22,91.67%,2,8.33%,17,3,2,2,0,0,0,10.23,,3
(V23) (568HF) Pine Ridge,18,17,94.44%,1,5.56%,15,1,1,1,0,0,0,8.25,,5.13
(V23) (568HH) Scottsbluff,393,393,100.00%,0,0.00%,341,42,10,0,0,0,0,3.44,0,0.2
(V23) (568HJ) Mission,30,30,100.00%,0,0.00%,30,0,0,0,0,0,0,0,,
(V23) (568HK) McLaughlin,4,4,100.00%,0,0.00%,4,0,0,0,0,0,0,,,0
(V23) (568HM) Eagle Butte,40,40,100.00%,0,0.00%,39,0,1,0,0,0,0,0,,5
(V23) (568HP) Winner,64,64,100.00%,0,0.00%,60,2,2,0,0,0,0,1.25,0,2.1
(V23) (568MA) IDES Ellsworth AFB,10,10,100.00%,0,0.00%,4,2,4,0,0,0,0,,10.75,9
"(V23) (618) Minneapolis, MN","67,817","66,251",97.69%,"1,566",2.31%,"60,291","3,168","2,792","1,068",358,119,21,2.8,5.28,1.08
(V23) (618) Minneapolis VAMC,"50,332","49,029",97.41%,"1,303",2.59%,"44,808","2,163","2,058",887,277,118,21,3.06,5.37,0.64
(V23) (618BY) Twin Ports,"3,682","3,524",95.71%,158,4.29%,"3,175",148,201,78,80,0,0,3.39,7.29,1.49
(V23) (618GA) St. James,"1,129","1,129",100.00%,0,0.00%,"1,107",20,2,0,0,0,0,0.71,0,0.35
(V23) (618GB) Hibbing,"1,077","1,077",100.00%,0,0.00%,974,70,33,0,0,0,0,2.53,1.39,3.19
(V23) (618GD) Maplewood,"1,691","1,663",98.34%,28,1.66%,"1,485",127,51,28,0,0,0,2.95,3.57,1.17
(V23) (618GE) Chippewa Valley,"1,685","1,676",99.47%,9,0.53%,"1,525",98,53,9,0,0,0,2.93,2.88,0.96
(V23) (618GG) Rochester,"1,238","1,233",99.60%,5,0.40%,"1,151",43,39,5,0,0,0,1.46,0,3.17
(V23) (618GH) Hayward,"1,171","1,171",100.00%,0,0.00%,"1,076",67,28,0,0,0,0,2.52,0,1.28
(V23) (618GI) Northwest Metro,"3,186","3,144",98.68%,42,1.32%,"2,823",169,152,41,1,0,0,2.79,3.73,1.63
(V23) (618GJ) Shakopee,837,834,99.64%,3,0.36%,733,70,31,3,0,0,0,3.6,4.55,0.57
(V23) (618GK) Albert Lea,634,627,98.90%,7,1.10%,581,34,12,7,0,0,0,1.56,9.47,2.44
(V23) (618QA) Fort Snelling,"1,155","1,144",99.05%,11,0.95%,853,159,132,10,0,1,0,7.72,4.63,2.81
"(V23) (636) Central Iowa, IA","25,238","24,129",95.61%,"1,109",4.39%,"21,185","1,393","1,551",786,233,64,26,3.77,7.51,2.73
(V23) (636A6) Des Moines VAMC,"19,061","18,084",94.87%,977,5.13%,"15,745","1,139","1,200",691,208,55,23,2.43,7.66,3.7
"(V23) (636BU) VADOM Des Moines
IA",635,635,100.00%,0,0.00%,635,0,0,0,0,0,0,0,,
(V23) (636GC) Mason City,"1,459","1,412",96.78%,47,3.22%,"1,248",51,113,34,10,2,1,5.56,8.58,1.38
(V23) (636GD) Marshalltown,684,668,97.66%,16,2.34%,613,28,27,12,4,0,0,2,9.43,0
(V23) (636GK) Fort Dodge,"1,622","1,573",96.98%,49,3.02%,"1,316",89,168,41,3,4,1,10.12,2.25,0.8
(V23) (636GM) Carroll,517,515,99.61%,2,0.39%,442,43,30,0,2,0,0,2.94,4.22,2.83
(V23) (636GR) Knoxville,"1,260","1,242",98.57%,18,1.43%,"1,186",43,13,8,6,3,1,1.2,6.11,0.2
"(V23) (636) Iowa City, IA","27,040","25,863",95.65%,"1,177",4.35%,"22,080","1,975","1,808",941,195,21,20,4.16,7.51,2.61
(V23) (636A8) Iowa City VAMC,"17,122","16,054",93.76%,"1,068",6.24%,"13,672","1,072","1,310",841,188,20,19,4.3,8.29,1.65
(V23) (636GF) Quad Cities,"2,119","2,105",99.34%,14,0.66%,"1,762",230,113,13,0,0,1,4.17,2.14,3.45
(V23) (636GG) Quincy,877,836,95.32%,41,4.68%,628,138,70,37,3,1,0,8.14,3.2,2.4
(V23) (636GH) Waterloo,"1,228","1,226",99.84%,2,0.16%,"1,097",96,33,2,0,0,0,3.16,1,2.07
(V23) (636GI) Lane A Evans CBOC,"1,331","1,320",99.17%,11,0.83%,"1,158",104,58,10,1,0,0,2.89,2.28,3.28
(V23) (636GJ) Dubuque,799,787,98.50%,12,1.50%,731,29,27,12,0,0,0,2.17,0.65,3.6
(V23) (636GN) Cedar Rapids,"1,632","1,616",99.02%,16,0.98%,"1,277",199,140,14,2,0,0,5.56,3.49,4.84
(V23) (636GS) Ottumwa,618,613,99.19%,5,0.81%,562,37,14,5,0,0,0,2.56,2.53,2.66
(V23) (636GT) Sterling,895,895,100.00%,0,0.00%,828,48,19,0,0,0,0,1.52,1.99,3.52
(V23) (636GU) Decorah,369,367,99.46%,2,0.54%,324,22,21,2,0,0,0,2.77,0.24,4.48
"(V23) (636QG) Iowa City VA Mobile
Clinic",50,44,88.00%,6,12.00%,41,0,3,5,1,0,0,,7.1,
"(V23) (636) Nebraska-W Iowa, NE","44,295","43,623",98.48%,672,1.52%,"40,706","1,566","1,351",453,175,34,10,1.91,4.32,1.19
(V23) (636) Omaha VAMC,"23,000","22,455",97.63%,545,2.37%,"20,656",897,902,345,157,34,9,1.34,5.75,2.08
(V23) (636A4) Grand Island VAMC,"7,878","7,843",99.56%,35,0.44%,"7,526",201,116,30,4,0,1,1.57,1.62,0.42
(V23) (636A5) Lincoln,"8,949","8,873",99.15%,76,0.85%,"8,235",380,258,64,12,0,0,3.17,3.15,0.52
"(V23) (636BW) Grand Island
Domiciliary",477,477,100.00%,0,0.00%,477,0,0,0,0,0,0,,,0.06
(V23) (636BX) Omaha Domiciliary,514,514,100.00%,0,0.00%,514,0,0,0,0,0,0,,,
(V23) (636GA) Norfolk,628,616,98.09%,12,1.91%,537,38,41,11,1,0,0,5.34,0.44,0.37
(V23) (636GB) North Platte,"1,009","1,008",99.90%,1,0.10%,"1,000",8,0,1,0,0,0,0.9,0.16,0
(V23) (636GL) Bellevue,973,970,99.69%,3,0.31%,925,20,25,2,1,0,0,0.77,2.38,0
(V23) (636GP) Shenandoah,453,453,100.00%,0,0.00%,438,12,3,0,0,0,0,0.95,0.62,0
(V23) (636GQ) Holdrege,414,414,100.00%,0,0.00%,398,10,6,0,0,0,0,1.83,0.15,0
"(V23) (656) St. Cloud, MN","36,534","35,334",96.72%,"1,200",3.28%,"31,618","1,762","1,954",967,199,24,10,4.59,7.91,3.17
(V23) (656) St Cloud VAMC,"32,350","31,271",96.66%,"1,079",3.34%,"28,044","1,515","1,712",870,178,21,10,4.35,7.91,2.95
(V23) (6569AA) VANURS St Cloud,1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,
(V23) (656GA) Brainerd,"2,186","2,101",96.11%,85,3.89%,"1,812",156,133,63,19,3,0,6.13,6.12,7.21
(V23) (656GB) Montevideo,723,705,97.51%,18,2.49%,657,25,23,17,1,0,0,5.08,0.25,0.18
(V23) (656GC) Max J. Beilke VA OPC,"1,058","1,057",99.91%,1,0.09%,990,49,18,1,0,0,0,2.54,1.45,1.28
(V23) (656QA) St. Cloud VA Mobile,216,199,92.13%,17,7.87%,114,17,68,16,1,0,0,,12.06,
