"",,"Total ApptsCompleted1","Apptscompletedin 30 Daysor under2","PercentApptscompletedin 30 Daysor under3","Apptscompletedin over 30Days4","PercentApptscompletedin over 30Days5",,"ApptsCompletedBetween0 - 14Days6","ApptsCompletedBetween15 - 30Days7","ApptsCompletedBetween31 - 60days8","ApptsCompletedBetween61 - 90Days9","ApptsCompletedBetween91 - 120Days10","ApptsCompletedBeyond 120Days11",,"PC AvgWait Timein Days12","SC AvgWait Timein Days13","MH AvgWait Timein Days14"
"",(V22) (605GE) Rancho Cucamonga,"1,423","1,412",99.23%,11,0.77%,,"1,388",24,9,2,0,0,,2.10,0.00,0.78
"(V22) (664) San Diego, CA","60,802","59,434",97.75%,"1,368",2.25%,,"57,564","1,870","1,002",239,108,19,,2.16,3.84,3.00,
"",(V22) (664) San Diego HCS,"37,749","36,746",97.34%,"1,003",2.66%,,"35,556","1,190",735,158,96,14,,3.01,4.12,2.58
"",(V22) (664BU) San Diego Domiciliary,223,223,100.00%,0,0.00%,,223,0,0,0,0,0,,,,
"",(V22) (664BY) Mission Valley,"11,203","11,066",98.78%,137,1.22%,,"10,756",310,95,36,4,2,,2.08,2.47,3.33
"",(V22) (664GA) Imperial Valley,412,411,99.76%,1,0.24%,,411,0,1,0,0,0,,0.74,0.03,0.50
"",(V22) (664GB) Oceanside,"7,308","7,115",97.36%,193,2.64%,,"6,865",250,139,44,7,3,,1.46,3.99,3.12
"",(V22) (664GC) Chula Vista,"2,165","2,152",99.40%,13,0.60%,,"2,073",79,11,1,1,0,,1.34,3.50,3.25
"",(V22) (664GD) Escondido,"1,742","1,721",98.79%,21,1.21%,,"1,680",41,21,0,0,0,,1.97,0.20,5.02
"(V22) (691) Greater Los Angeles HCS","65,683","62,800",95.61%,"2,883",4.39%,,"59,058","3,742","2,242",434,187,20,,4.64,6.68,4.49,
"","(V22) (691) West Los Angeles, CA","28,420","27,060",95.21%,"1,360",4.79%,,"25,565","1,495","1,019",263,68,10,,4.52,6.20,5.60
"",(V22) (691A4) Sepulveda,"15,084","14,274",94.63%,810,5.37%,,"13,234","1,040",575,119,113,3,,6.30,8.24,2.03
"",(V22) (691GB) Santa Barbara,"1,181","1,162",98.39%,19,1.61%,,"1,096",66,19,0,0,0,,4.72,4.09,5.47
"",(V22) (691GC) Gardena,685,652,95.18%,33,4.82%,,638,14,31,2,0,0,,1.07,10.22,5.28
"",(V22) (691GD) Bakersfield,"3,434","3,404",99.13%,30,0.87%,,"3,383",21,16,3,4,7,,0.63,2.72,1.74
"",(V22) (691GE) Los Angeles,"9,566","9,275",96.96%,291,3.04%,,"8,847",428,273,17,1,0,,3.83,5.62,6.24
"",(V22) (691GF) EAST LOS ANGELES CLINIC,"1,003","1,002",99.90%,1,0.10%,,987,15,1,0,0,0,,3.54,3.50,0.05
"",(V22) (691GG) Antelope Valley,944,934,98.94%,10,1.06%,,898,36,7,2,1,0,,3.33,0.00,0.50
"",(V22) (691GK) San Luis Obispo,969,914,94.32%,55,5.68%,,818,96,45,10,0,0,,5.69,14.78,2.17
"",(V22) (691GL) Santa Maria,"2,814","2,605",92.57%,209,7.43%,,"2,356",249,192,17,0,0,,5.10,7.86,12.24
"",(V22) (691GM) Port Hueneme (Oxnard),"1,583","1,518",95.89%,65,4.11%,,"1,236",282,64,1,0,0,,9.37,,6.00
"(V23) (437) Fargo, ND","18,930","18,590",98.20%,340,1.80%,,"18,029",561,296,33,11,0,,1.69,3.54,1.37,
"",(V23) (437) Fargo VA Health Care System,"13,808","13,528",97.97%,280,2.03%,,"13,068",460,244,27,9,0,,2.17,3.26,1.85
"",(V23) (437GA) Grafton,174,174,100.00%,0,0.00%,,174,0,0,0,0,0,,0.00,0.00,0.00
"",(V23) (437GB) Bismarck ND,"1,282","1,247",97.27%,35,2.73%,,"1,226",21,33,0,2,0,,0.25,10.18,0.20
"",(V23) (437GC) Fergus Falls,496,495,99.80%,1,0.20%,,485,10,1,0,0,0,,2.39,0.00,1.08
"",(V23) (437GD) Minot,612,597,97.55%,15,2.45%,,539,58,9,6,0,0,,5.48,15.12,0.81
"",(V23) (437GE) Bemidji CBOC,"1,328","1,323",99.62%,5,0.38%,,"1,316",7,5,0,0,0,,0.39,3.47,0.32
"",(V23) (437GF) Williston CBOC ND,331,331,100.00%,0,0.00%,,328,3,0,0,0,0,,1.38,0.00,0.00
"",(V23) (437GI) Grand Forks,899,895,99.56%,4,0.44%,,893,2,4,0,0,0,,0.23,1.13,0.17
"(V23) (438) Sioux Falls, SD","18,226","17,681",97.01%,545,2.99%,,"16,914",767,484,57,4,0,,3.03,5.03,3.85,
"",(V23) (438) Sioux Falls,"13,340","12,866",96.45%,474,3.55%,,"12,268",598,423,50,1,0,,4.62,4.82,3.47
"(V23) (438GA) Spirit Lake CBOC",823,813,98.78%,10,1.22%,,782,31,6,2,2,0,,0.51,7.21,4.31,
"(V23) (438GC) Sioux City","1,460","1,424",97.53%,36,2.47%,,"1,358",66,36,0,0,0,,1.46,5.47,6.36,
"(V23) (438GD) Aberdeen (Brown County)","1,258","1,256",99.84%,2,0.16%,,"1,224",32,1,1,0,0,,1.37,5.40,1.25,
"(V23) (438GE) Wagner",253,249,98.42%,4,1.58%,,243,6,0,3,1,0,,1.70,2.80,28.62,
"(V23) (438GF) Watertown","1,092","1,073",98.26%,19,1.74%,,"1,039",34,18,1,0,0,,1.53,9.81,1.35,
"(V23) (568) Black Hills HCS, SD","13,315","12,987",97.54%,328,2.46%,,"12,399",588,266,60,0,2,,2.74,5.52,1.95,
"(V23) (568) Fort Meade","6,604","6,382",96.64%,222,3.36%,,"6,023",359,206,15,0,1,,2.30,5.47,1.76,
"(V23) (568A4) Hot Springs","4,100","4,054",98.88%,46,1.12%,,"3,933",121,40,5,0,1,,4.85,2.71,1.82,
"(V23) (568GA) Rapid City SD","1,625","1,565",96.31%,60,3.69%,,"1,472",93,20,40,0,0,,3.45,31.81,2.67,
"",(V23) (568GB) Pierre,227,227,100.00%,0,0.00%,,225,2,0,0,0,0,,0.00,0.00,1.71
"",(V23) (568HA) Newcastle,7,7,100.00%,0,0.00%,,5,2,0,0,0,0,,8.83,,11.00
"",(V23) (568HB) Gordon CBOC,35,35,100.00%,0,0.00%,,35,0,0,0,0,0,,0.21,,1.00
"",(V23) (568HF) Pine Ridge,42,42,100.00%,0,0.00%,,42,0,0,0,0,0,,2.29,,0.36
"",(V23) (568HH) Gering SD,464,464,100.00%,0,0.00%,,461,3,0,0,0,0,,1.78,0.00,0.53
"",(V23) (568HJ) Rosebud,25,25,100.00%,0,0.00%,,25,0,0,0,0,0,,0.00,,
"",(V23) (568HK) McLaughlin,4,4,100.00%,0,0.00%,,4,0,0,0,0,0,,,,
"",(V23) (568HM) Eagle Butte SD,25,25,100.00%,0,0.00%,,25,0,0,0,0,0,,0.00,,0.00
"",(V23) (568HP) Winner,149,149,100.00%,0,0.00%,,149,0,0,0,0,0,,0.04,0.00,1.06
"",(V23) (568MA) IDES Ellsworth AFB,8,8,100.00%,0,0.00%,,0,8,0,0,0,0,,,,
"(V23) (618) Minneapolis, MN","64,104","63,347",98.82%,757,1.18%,,"62,176","1,171",628,105,21,3,,2.16,2.53,0.82,
"",(V23) (618) Minneapolis,"48,902","48,377",98.93%,525,1.07%,,"47,591",786,455,63,5,2,,1.71,2.25,0.34
"",(V23) (618BY) Superior,"3,499","3,469",99.14%,30,0.86%,,"3,422",47,17,12,1,0,,1.95,2.05,1.02
"",(V23) (618GA) Mankato MN,"1,143","1,118",97.81%,25,2.19%,,"1,085",33,21,4,0,0,,3.98,0.00,0.75
"",(V23) (618GB) Hibbing,"1,158","1,157",99.91%,1,0.09%,,"1,142",15,1,0,0,0,,2.34,0.97,2.53
"",(V23) (618GD) Maplewood (St. Paul),"1,561","1,499",96.03%,62,3.97%,,"1,439",60,60,2,0,0,,3.32,7.97,1.67
"",(V23) (618GE) Chippewa Valley,"1,146","1,146",100.00%,0,0.00%,,"1,142",4,0,0,0,0,,1.91,0.00,0.09
"",(V23) (618GG) Rochester,"1,287","1,279",99.38%,8,0.62%,,"1,239",40,5,2,0,1,,2.82,0.00,2.52
"",(V23) (618GH) Hayward/Rice Lake VA OPC,965,955,98.96%,10,1.04%,,932,23,9,1,0,0,,2.78,0.00,1.09
"",(V23) (618GI) Northwest Metro VA OPC,"3,367","3,272",97.18%,95,2.82%,,"3,122",150,59,21,15,0,,2.74,5.20,3.68
"",(V23) (618GJ) Shakopee,607,607,100.00%,0,0.00%,,606,1,0,0,0,0,,1.42,0.61,0.54
"",(V23) (618GK) Albert Lea,469,468,99.79%,1,0.21%,,456,12,1,0,0,0,,0.81,6.23,1.92
"(V23) (636) Central Iowa, IA","23,238","22,895",98.52%,343,1.48%,,"21,998",897,297,44,2,0,,3.34,3.16,3.27,
"",(V23) (636A6) Des Moines,"17,149","16,892",98.50%,257,1.50%,,"16,228",664,218,38,1,0,,3.45,2.93,4.40
"",(V23) (636BU) VADOM Des Moines IA,806,806,100.00%,0,0.00%,,806,0,0,0,0,0,,0.06,,
"",(V23) (636GC) Mason City,"1,306","1,257",96.25%,49,3.75%,,"1,173",84,48,1,0,0,,3.92,7.95,2.96
"",(V23) (636GD) Marshalltown,721,718,99.58%,3,0.42%,,708,10,3,0,0,0,,1.91,3.02,1.01
"",(V23) (636GK) Fort Dodge,"1,239","1,230",99.27%,9,0.73%,,"1,153",77,8,0,1,0,,4.58,1.52,1.32
"",(V23) (636GM) Carroll,613,610,99.51%,3,0.49%,,586,24,3,0,0,0,,2.11,4.18,4.02
"",(V23) (636GR) Knoxville,"1,404","1,382",98.43%,22,1.57%,,"1,344",38,17,5,0,0,,2.34,6.76,0.83
"(V23) (636) Iowa City, IA","24,724","24,006",97.10%,718,2.90%,,"22,880","1,126",594,88,28,8,,4.60,4.70,1.72,
"",(V23) (636A8) Iowa City,"16,686","16,123",96.63%,563,3.37%,,"15,318",805,447,80,28,8,,4.99,4.92,0.66
"(V23) (636GF) Bettendorf","1,654","1,629",98.49%,25,1.51%,,"1,541",88,25,0,0,0,,4.22,0.78,3.76,
"(V23) (636GG) Quincy",564,557,98.76%,7,1.24%,,497,60,7,0,0,0,,7.39,2.17,2.44,
"(V23) (636GH) Waterloo","1,227","1,226",99.92%,1,0.08%,,"1,212",14,1,0,0,0,,2.80,1.82,1.62,
"(V23) (636GI) Galesburg","1,216","1,110",91.28%,106,8.72%,,"1,044",66,99,7,0,0,,11.14,1.79,3.39,
"(V23) (636GJ) Dubuque",652,651,99.85%,1,0.15%,,648,3,1,0,0,0,,0.21,0.00,1.35,
"(V23) (636GN) Cedar Rapids","1,181","1,174",99.41%,7,0.59%,,"1,110",64,7,0,0,0,,4.56,0.54,3.32,
"(V23) (636GS) Ottumwa",600,596,99.33%,4,0.67%,,583,13,4,0,0,0,,2.07,2.09,5.35,
"(V23) (636GT) Sterling",540,539,99.81%,1,0.19%,,539,0,1,0,0,0,,1.33,1.82,1.66,
"(V23) (636GU) Decorah",404,401,99.26%,3,0.74%,,388,13,2,1,0,0,,2.88,0.00,1.03,
"(V23) (636) Nebraska-W Iowa, NE","44,645","44,436",99.53%,209,0.47%,,"43,715",721,189,17,3,0,,1.50,2.02,0.89,
"(V23) (636) Omaha","23,762","23,662",99.58%,100,0.42%,,"23,311",351,87,12,1,0,,1.82,1.65,1.24,
"(V23) (636A4) Grand Island","8,222","8,193",99.65%,29,0.35%,,"8,103",90,24,5,0,0,,1.38,1.09,0.81,
"(V23) (636A5) Lincoln","8,529","8,451",99.09%,78,0.91%,,"8,201",250,76,0,2,0,,1.39,4.47,0.35,
"(V23) (636BW) Grand Island Domiciliary",53,53,100.00%,0,0.00%,,53,0,0,0,0,0,,,,,
"(V23) (636BX) Omaha Domiciliary",889,889,100.00%,0,0.00%,,889,0,0,0,0,0,,,,,
"(V23) (636GA) Norfolk NE",788,786,99.75%,2,0.25%,,770,16,2,0,0,0,,1.36,0.10,2.46,
"(V23) (636GB) North Platte",846,846,100.00%,0,0.00%,,844,2,0,0,0,0,,0.92,0.21,0.23,
"(V23) (636GL) Bellevue",504,504,100.00%,0,0.00%,,503,1,0,0,0,0,,1.17,0.00,1.08,
"","(V23) (636GP) Shenandoah,IA CBOC",523,523,100.00%,0,0.00%,,523,0,0,0,0,0,,0.74,0.00,0.47
"",(V23) (636GQ) Holdrege,529,529,100.00%,0,0.00%,,518,11,0,0,0,0,,1.71,0.50,0.00
"(V23) (656) St. Cloud, MN","35,123","34,621",98.57%,502,1.43%,,"33,639",982,378,114,8,2,,2.03,4.23,3.28,
"",(V23) (656) St Cloud VA Health Care System,"29,626","29,199",98.56%,427,1.44%,,"28,396",803,306,112,8,1,,1.68,4.25,3.51
"(V23) (6569A) 6569A",1,1,100.00%,0,0.00%,,1,0,0,0,0,0,,,,,
"(V23) (656GA) Brainerd","2,873","2,808",97.74%,65,2.26%,,"2,652",156,64,1,0,0,,4.77,3.72,3.71,
"(V23) (656GB) Western Central Minnesota","1,259","1,253",99.52%,6,0.48%,,"1,243",10,5,0,0,1,,0.43,4.52,0.37,
"(V23) (656GC) Max J. Beilke","1,364","1,360",99.71%,4,0.29%,,"1,347",13,3,1,0,0,,1.01,4.33,1.29,
